Name,FileName,Texture
Dirt Block,Dirt_Block.mesh,TileMap.png
Stone Block,Stone_Block.mesh,TileMap.png
Grass Dirt Block,Grass_Dirt_Block.mesh,TileMap.png
Grass Ramp,Grass_Ramp.mesh,TileMap.png
Grass Ramp Corner,Grass_Ramp_Corner.mesh,TileMap.png
Grass Block,Grass_Block.mesh,TileMap.png
Tree Trunk,Tree_Trunk.mesh,TileMap.png
Tree Ramp Corner,Tree_Ramp_Corner.mesh,TileMap.png
Tree Block,Tree_Block.mesh,TileMap.png
Tree Top,Tree_Top.mesh,TileMap.png
Tree Ramp,Tree_Ramp.mesh,TileMap.png
Tree Stump,Tree_Stump.mesh,TileMap.png
